Ruc,Empresa,Establecimiento,Giro,Resolución,Código Sala,Vigencia,Máq.,Memoria,Mesas,Dirección,Distrito,Provincia,Departamento
20511532516,TEXAS GAMING CORPORATION S.A.C.,PHARAOHS CITY,,001154,120694001,23/10/2027,197,674,--,Calle LAS CAOBAS No. 118,LA MOLINA,LIMA,LIMA
20511532516,TEXAS GAMING CORPORATION S.A.C.,RICH & FAMOUS,,001193,120694002,13/10/2027,134,344,--,Jr. LOS FLAMENCOS No. 122,SANTA ANITA,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA COMAS 1,,2840,120695001,7/07/2027,220,424,--,Av. TUPAC AMARU No. 4809 - 4815 - 4819 - 4821,COMAS,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,COMAS 4,,7649 - 2025,120695002,14/10/2029,59,142,--,Av. TUPAC AMARU No. 6021 - 6027,COMAS,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA ZARATE 1,,3406 - 2026,120695005,14/05/2030,92,160,--,Av. GRAN CHIMU No. 868-A,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA GAMARRA 1,,997,120695006,--,75,165,--,Jr. HIPOLITO UNANUE No. 1675 - 1681,LA VICTORIA,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA VILLA 2,,2822,120695007,6/07/2027,253,479,--,Av. JUAN VELASCO ALVARADO 2DO.SECTOR MZ. N Lt. 13,VILLA EL SALVADOR,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA TACNA,,624 - 2026,120695008,5/02/2030,410,839,--,Calle SAN MARTIN CON CALLE BOLIVAR 518 (ANTES 524) Y 530 No. 549 - 557,TACNA,TACNA,TACNA
20530811183,ALPAMAYO INVERSIONES S.A.C.,CHOSICA 1,,1979,120695009,18/07/2026,51,163,--,Av. 28 DE JULIO No. 289 y Jr. CALLAO No. 178,LURIGANCHO,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,BOLIVAR,,7650 - 2025,120695010,14/10/2029,44,73,--,Av. BOLIVAR No. 1833,PUEBLO LIBRE,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,JULIACA 1,,189,120695011,--,133,238,--,Jr. SAN ROMAN No. 216,JULIACA,SAN ROMÁN,PUNO
20530811183,ALPAMAYO INVERSIONES S.A.C.,BARRANCA 1,,1972,120695012,13/07/2026,169,295,--,Jr. JOSE GALVEZ No. 245 - 245 - 247 - 247,BARRANCA,BARRANCA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,IQUITOS 1,,1815,120695013,9/05/2027,117,237,--,Jr. PROSPERO No. 248 - 250,IQUITOS,MAYNAS,LORETO
20530811183,ALPAMAYO INVERSIONES S.A.C.,BARRANCA 3,,882,120695014,10/03/2027,120,214,--,Jr. JOSE GALVEZ No. 201 - 209 - 217,BARRANCA,BARRANCA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA SAN JUAN 1,,7893 - 2025,120695015,21/10/2029,99,207,--,Av. LOS HEROES 482-484 No. 484 y Av. LOS HEROES No. 482,SAN JUAN DE MIRAFLORES,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA JULIACA 2,,2793 - 2026,120695016,23/04/2030,116,163,--,Av. MARIANO NUÑEZ No. 574,JULIACA,SAN ROMÁN,PUNO
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA BARRANCA 2,,002402 - 2017,120695017,11/08/2026,117,203,--,Jr. JOSE GALVEZ No. 511 - 511,BARRANCA,BARRANCA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SALA HUACHO 2,,2870 - 2026,120695018,24/04/2030,32,43,--,Calle COLON No. 102,HUACHO,HUAURA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,SAN MARTIN 2,,705,120695019,27/02/2027,39,50,--,PERU No. 1800 - 1804,SAN MARTÍN DE PORRES,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,HUARAZ 1,,1766,120695020,7/07/2026,82,114,--,Av. LUZURIAGA No. 570,HUARAZ,HUARAZ,ÁNCASH
20530811183,ALPAMAYO INVERSIONES S.A.C.,HUACHO 3,,1143,120695021,--,69,166,--,ECHENIQUE No. S/N y GRAU No. 596,HUACHO,HUAURA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,PUCALLPA 1,,2492,120695022,14/06/2027,109,148,--,UCAYALI No. 315 - 329,CALLERIA,CORONEL PORTILLO,UCAYALI
20530811183,ALPAMAYO INVERSIONES S.A.C.,SAN JUAN 3,,1163,120695024,--,54,64,--,LOS HEROES No. 564,SAN JUAN DE MIRAFLORES,LIMA,LIMA
20530811183,ALPAMAYO INVERSIONES S.A.C.,PUCALLPA 2,,3815,120695025,1/09/2027,208,493,--,Jr. UCAYALI No. 744,CALLERIA,CORONEL PORTILLO,UCAYALI
